"Thu, Dec 13, 2018, 6:15 PM",1 tank Mukilteo night dive,Mukilteo Lighthouse Park,"609 Front Street · Mukilteo, WA","Last Dive here was great we saw alot, this is a repeat (same site) but at night. Open to all AOW divers. No current experience needed. Bring 2 lights. Crab bag (Optional, Crabbing is OK there) Meet at 6:15 pm. Slash at 6:45 pm. We typically see buffalo and sailfin sculpins, rockfish, pricklebacks, red octos, and crescent gunnels. We've seen a juvenile wolf eel and hooded nudibranchs as well. Mukilteo Lighthouse has paid parking at $2 per hour. Restrooms are available on site."
"Tue, Dec 11, 2018, 7:00 PM",MBDC Board meeting,University Heights Community Center,"5031 University Way NE · Seattle, WA",• What we'll do Monthly Board meeting. The usual agenda applies - and a call for priority topics will go out in advance to shape each month's discussion. Please RSVP so that we know if we have a quorum. Members are welcome to attend. Just let us know!
"Sun, Dec 9, 2018, 12:30 PM",West Seattle dive,Alki Junkyard,"Alki and 64th · Seattle, WA","Beautiful slack/current combination. Come for 1 or 2 dives. 1st dive slash @ 1:10 pm so meet by 12:40 am 2nd Dive slash at 4:30 pm so meet by 4 pm. Between the two dives, we can go eat at one of the local restaurant or bring your lunch... Parking Free parking along the street. Restrooms nearby about 150 feet by the Statue of Liberty."
"Sun, Dec 9, 2018, 7:30 AM",South Sound Weekend Boat Dive,Tyee Marina,5618 Marine View Dr · Tacoma,"Hope to see you diving with the dive charter Sea Ya Diving! It will be a fun day of diving complemented by delicious food! Our intended dive sites are KVI Tower and Maury Island Barges. KVI Tower's most popular site consists of a series of cement columns and rocks that make up the primary reef directly in from of the orange tower. They are covered with plumose anemones and swarmed with rock fish, perch, sculpin, greenling, etc. The structure is beautiful and reaches from approximately 30ft to 110ft with some boulders scattered up as far as 15ft on a low tide. About 50 yards away to the South is another finger of boulders that extends from about 60ft to 120ft. The reef extends on a steep sloping bottom that gets deep rapidly. The shallows are covered in eel grass and sea lettuce and house all sorts of small creatures such as gunnels and sole and make a great spot for safety stops. Visibility tends to be good and current is usually mild. Maury Island Barges has chunks of the original barges still intact creating hiding places for perch, lingcod and rockfish. You will usually see quite a few kelp greenling and ratfish here as well. We have also seen dogfish and the occasional sea lion! The barges intersect so you can easily swim from the remains of one barge to the others. Max depth is about 80' at the stern of the deepest barge. You should have at least an advanced certification with experience diving in currents, depths deeper than 60′, good buoyancy skills and experience in mid water ascents using a Surface Marker Buoy (SMB). To ensure that everyone can ""get their money's worth"" from the dive, unless you are signing up with buddy who is okay with shorter dive times, you should be able to get 60 minutes (or somewhere close to it) from your tank. To sign up - sign up on Meetup, then go immediately to the Sea Ya Diving website www.seayadivingWA.com to pay for and reserve your spot ($85)."
"Sat, Dec 8, 2018, 11:00 AM",Down South current dive,Day Island Wall,"Day Island Blvd. W. 19 St. SW (cross Street) · Tacoma, WA","Day Island north entrance going north and return. Meetup 11 am and splash 11:47 am. Should be a mild current, but this is DI and it does have a mind of its own, so come prepared for the worst and bring your trowel Unfortunately Rich and I will not be able to stay for the after dive luncheon, but that shouldn't stop you. Please make every effort to carpool. The last time we took up a lot of space and I do not wish to upset our neighbourhood host. For this reason, I am limiting this to 10 divers. Must have SMB and know how to inflate it in mid-water and be comfortable in a current. Any questions call me 206-941-8004"
"Sat, Dec 8, 2018, 7:30 AM",one tank Down South dive,Three Tree,"3725 SW 170th St · Burien, WA","Three Tree open to all skill levels. 7:30 am meetup, 8 am splash. Have your gear ready for a quick gear up. If you are slow to set up come earlier. We have been finding Lumpsuckers in 10 feet of water. So, if you have never seen one or enjoy photographing them you may get lucky. Because I need to be at another dive site, I will depart Three Tree no later than 10 am. Must have working Primary and Secondary lights"
"Fri, Dec 7, 2018, 9:30 AM",North Slacker Dive,Silver Cloud Inn Mukilteo Waterfront,718 Front St · Mukilteo,"Calling all Slackers!! Mukilteo dive! Bruce & I are going to try this out Friday morning. Meet at the north end of the Silver Cloud Inn. 9:30 A.M. Meet, 10:30 A.M. Splash. This should be fine for all skill levels."
"Thu, Dec 6, 2018, 7:00 PM",Meeting Friends of Saltwater State Park,Saltwater State Park,"25205 8th Pl S · Des Moines, WA",Interested in Saltwater State Park? Help support watershed/marine stewardship and amenities for park patrons. Come join us! Contact: friends.saltwater.statepark@gmail
"Wed, Dec 5, 2018, 7:00 PM",Holiday Potluck and Gift exchange!,Sunset Hill Community Club,"3003 Northwest 66th Street · Seattle, WA","Every December, the monthly club meeting becomes the All of the Holidays Party Potluck and Gift Exchange. Join us for a great time. Details -- POTLUCK -- bring something to share. BYOB drinks. The club provides dinnerware. GIFT EXCHANGE - Bring a wrapped scuba-themed gift (suggested value of no more than $25.00). Participants can choose a gift or steal an already opened gift (to a maximum of three steals per gift). It's always a riot with much laughter and surprises. See you at the party!"
"Tue, Dec 4, 2018, 7:30 PM",South Sound dive,Three Tree,"3725 SW 170th St · Burien, WA","Always an eventful dive at Three Tree. Come down and experience the joy and wonder for a single tank, mid-week dive. Bring tank light and back up light (required). Plan for an 8 pm splash."
